item_id,title,description,price,image_path
0,"Mario Badescu Drying Lotion, 1 fl. oz.","Renowned for its ability to help dry up surface blemishes overnight. Mario Badescu drying lotion continues to reign as a best-selling favorite amongst beauty editors, celebrities, and professionals worldwide. This fast-acting, effective spot treatment is specially formulated with salicylic acid, sulfur, and zinc oxide to help draw impurities from the skin and target pesky pimples while you sleep. How to use - Do not shake the bottle Before bed after cleansing and toning, dip a cotton swab into the pink sediment at the bottom of the bottle. Dab directly on the surface blemish; do not rub in. Let dry and rinse off in the morning. Do not use on broken skin.",$17.00,images/item_000000.jpg
1,"Crabtree &amp; Evelyn Nail and Cuticle Therapy Gardeners, 0.52 Fl Oz","The secret ingredient to glossy, healthy-looking nails. Formulated with panthenol and keratin, our Gardeners Nail and Cuticle Therapy Cream helps protect nails and soften dry, flaking cuticles. So you can wave hello to beautiful nails. By Crabtree &amp; Evelyn",,images/item_000001.jpg
2, Moroccanoil Hair Treatment 100 ml Bottle with Blue Box for all hair types,"Moroccan oil Treatment is the original award-winning hair product that created the worldwide buzz on argan oil and pioneered oil-infused hair care. Rich in antioxidant argan oil and linseed (flax) seed extract, this iconic hair treatment instantly nourishes and helps strengthen hair, leaving it shinier and healthier-looking with each use. Proprietary formula detangles hair and absorbs quickly without leaving a greasy residue. The foundation for all hairstyling, it creates long-lasting smoothness, increases manageability and speeds up blow-drying time. Also available in Light for fine or light-colored hair. A story of success, an impulse for innovation and a relentless pursuit of high-performing oil-infused beauty products fashioned an iconic brand: Moroccan oil.",,images/item_000002.jpg
3,bliss Empowder Me Buildable Powder Foundation,"From our spa to your skin youve put your trust in us to care for your skin with our legendary spa services and world famous skin care products. Now were excited to introduce the next step to achieving complexion perfection. We like to call it tinted skincare. Weve poured our innovative spa ingredients and advanced technologies into our tinted skincare products, so youll know theyre good for you and your skin. Spatacular results: you have to feel it to believe it. Creamy, silky, and luxurious, empowder me uses an advanced technology resulting in a revolutionary powder foundation that looks and feels like a second skin. Encapsulated algae, cactus flower extract, chamomile and allantoin nourish and help balance skins appearance. Easily buildable and blendable, the powder feels remarkably lightweight. Apply wet or dry with a sponge or brush allowing for a range of different finishes. You are in control. Youve put your trust in us to care for your skin with our spa services and skin care products. Weve poured our innovative spa ingredients into our tinted skincare products.",$34.99,images/item_000003.jpg
4,"La Roche-Posay Anthelios Tinted Mineral Primer with SPF 50, 1.35 Fl. Oz.","Amazon is an authorized retailer of La Roche-Posay products. Anthelios 50 Face Sunscreen with Cell-Ox Shield Broad Spectrum SPF 50 is an Anti-Aging Tinted Face Primer with Sunscreen that is Oxybenzone-free. This La Roche-Posay Anti-Aging Face Primer with Sunscreen is:&nbsp; &nbsp; This La Roche-Posay sunscreen is developed against stringent safety standards: &nbsp; A pioneer in UV protection research for over 15 years, La Roche-Posay, with Anthelios, is trusted by dermatologists worldwide for its advanced formulations in UV protection. Apply generously 15 minutes before sun exposure. Children under 6 months of age: ask a doctor. Ingredients: Avobenzone 3% (sunscreen), Homosalate 10% (sunscreen), Octisalate 5% (sunscreen), Octocrylene 5% (sunscreen), Inactive Ingredients: Dimethicone, C12-15 Alkyl Benzoate, Talc, Diisopropyl Sebacate, Silica Silylate, Glycerin, Trimethylsiloxysilicate, Dimethicone Crosspolymer, Water, Diethylhexyl Sryingylidenemalonate, Cassia Alata Leaf Extract, Maltodextrin If wearing with makeup, apply sunscreen first, followed by makeup. Product packaging may vary. <a class=""a-link-normal"" target=""_blank"" rel=""noopener"" href=""https://m.media-amazon.com/images/S/aplus-media/vc/53d32783-a432-435b-88d0-fa615c59c98b.jpg"">
            <img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/vc/53d32783-a432-435b-88d0-fa615c59c98b._SL220__.jpg"">
        </a>
    
    


                                        








    
    
        
    





    
        <div class=""a-text-center"">
            <a class=""a-link-normal"" target=""_blank"" rel=""noopener"" href=""https://m.media-amazon.com/images/S/aplus-media/vc/53d32783-a432-435b-88d0-fa615c59c98b.jpg"">
                View larger
            </a>
        </div> <img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/vc/5f9a0723-d62d-4ad4-a0a5-0b97142cc868._SL220__.jpg""> <img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/vc/8c658c99-24c7-4c89-aed9-38251f859ef1._SL220__.jpg""> <a class=""a-link-normal"" target=""_blank"" rel=""noopener"" href=""https://m.media-amazon.com/images/S/aplus-media/vc/b80ae5db-46e4-450f-bf5b-12e2b44eff60.jpg"">
            <img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/vc/b80ae5db-46e4-450f-bf5b-12e2b44eff60._SL220__.jpg"">
        </a>
    
    


                                        








    
    
        
    





    
        <div class=""a-text-center"">
            <a class=""a-link-normal"" target=""_blank"" rel=""noopener"" href=""https://m.media-amazon.com/images/S/aplus-media/vc/b80ae5db-46e4-450f-bf5b-12e2b44eff60.jpg"">
                View larger
            </a>
        </div>",$39.99,images/item_000004.jpg
5,La Roche-Posay Pigmentclar Cleanser 4.2 Fl. Oz.,"Amazon is an authorized retailer of La Roche Posay products.&nbsp; Gentle dark spot facial cleanser with micro-exfoliating Lipo-Hydroxy Acid [LHA] to help shed dark cells from skin's surface. Face wash with rich and easy-to-rinse foaming texture. Use as a daily brightening cleanser for visible dark spots, and uneven skin tone and texture. Ingredients: Aqua / water  glycerin  Myristic acid  potassium hydroxide  glyceryl Stearate se  stearic acid  lauric acid  palmitic Acid  coco-glucoside  parfum / fragrance  Tetrasodium edta  capryloyl salicylic acid Recommended by 25,000 dermatologists worldwide, La Roche-Posay offers unique daily skincare developed using a strict formulation charter and stringent clinical testing for efficacy and safety, even on sensitive skin. Use morning and evening, lather with water. Massage face gently. Rinse thoroughly with water.",$24.99,images/item_000005.jpg
6,essie Nail Color Polish,"Essie nail lacquer goes on smooth and last long Shimmering soft pink shade Chip-resistant DBP, Toluene and Formaldehyde free. after 31 years essies got the perfect combination for a flawless manicure!",,images/item_000006.jpg
7,"T3 - Whirl Convertible Interchangeable Tapered Styling Wand | Custom Blend Ceramic Convertible Barrel Professional Styling Wand for Long-Lasting, Beachy Waves|5 Adjustable Heat Settings","<b>T3 - Whirl Interchangeable Styling Wand</b><br><i>Custom Blend Ceramic Barrel Hair Styling Tool for Long-lasting, Beachy Waves</i> A styling wand that creates textured, tousled and lived-in locks in a breeze. Digital SinglePass technology maintains an even temperature for fast, frizz-free and consistent results. The tapered custom blend ceramic barrel seals the cuticle to ensure that your shimmering waves have staying power. Give it a whirl. <b>Digital T3 SinglePass Technology</b><br>The Whirl Convertible Styling Wand is enhanced with an internal microchip that constantly measures and maintains even temperature across the entire barrel for fast, uniform results without exposing hair to unnecessary heat. <b>Custom Blend Ceramic Barrel</b><br>The custom blend ceramic barrel emits negative ions that seal the cuticle fast, to retain moisture and produce healthy, shiny results that last. <b>5 Adjustable Heat Settings (260F  410F)</b><br>Provide the right heat level to perfectly style any hair type or condition. <b>Interchangeable Design</b><br>Allows for great versatility and customization of an expanded styling kit within the Convertible Collection. Camera lens-inspired locking mechanism enables easy, secure barrel changes. Additional barrels sold separately for alternative styling options. <b>Cool Tip & Stand</b><br>For safe and easy handling <b>Auto World Voltage (100-240V)</b><br>Allows for use around the world (plug adapter needed) <b>Additional Features & Accessories</b> <ul><li>1 Hour Auto-Off<li>Includes heat-resistant glove<li>9ft. 360 Swivel Cord</ul> T3 revolutionizes hairstyling with innovative technology and custom crafted hair tools that create shiny, healthy hair. From dryers to styling irons, T3 is the tools of choice for celebrity hair stylists and beauty addicts alike. <img alt=""5 heat settings"" src=""https://m.media-amazon.com/images/S/aplus-media/vc/cd94d1a8-1a2b-48d1-8c46-afd4a3a8153d._CR0,0,459,459_PT0_SX220__.jpg""> <img alt=""Interchangeable design"" src=""https://m.media-amazon.com/images/S/aplus-media/vc/ec3b07ed-e57e-467a-9c63-3ead7e17e833._CR0,0,459,459_PT0_SX220__.jpg""> <img alt=""Auto world voltage"" src=""https://m.media-amazon.com/images/S/aplus-media/vc/7fb7c42c-0073-4c9e-8b1a-46efc8d0f77a._CR0,0,459,459_PT0_SX220__.jpg""> <img alt=""1 hour auto off"" src=""https://m.media-amazon.com/images/S/aplus-media/vc/2dfe66c9-8224-4206-b595-de44e02c95a4._CR0,0,459,459_PT0_SX220__.jpg"">",$195.00,images/item_000007.jpg
8,"TIZO Ultra Zinc Body &amp; Face Sunscreen Tinted SPF 40 , 3.5 oz","Tinted Moisturizing ingredients combined with Zinc Oxide for a Soothing Sunscreen. TIZO, distributed by thousands of medical professionals worldwide, is an innovative line of skin treatments and mineral sunscreens that are developed under pharmaceutical standards yet provide uncompromised aesthetic elegance.",$41.99,images/item_000008.jpg
9,La Roche-Posay Anthelios Cooling Water Lotion Sunscreen,"Amazon is an authorized retailer of La Roche-Posay products. Anthelios Cooling Water-Lotion Sunscreen with Cell-Ox Shield Broad Spectrum SPF 30 is a face &amp; body sunscreen. This La Roche-Posay sunscreens features are: This La Roche-Posay sunscreen is developed against stringent safety standards: A pioneer in UV protection research for over 15 years, La Roche-Posay, with Anthelios, is trusted by dermatologists worldwide for its advanced formulations in UV protection.<br /> Apply generously 15 minutes before sun exposure. Reapply sunscreen after 80 minutes of swimming or sweating, immediately after towel drying, at least every 2 hours. Children under 6 months of age: ask a doctor. Ingredients: Avobenzone 2.24% (sunscreen), Homosalate 8% (sunscreen), Octisalate 2.4% (sunscreen), Octocrylene 4.48% (sunscreen), Oxybenzone 2.88% (sunscreen) Inactive Ingredients: Water, alcohol denat., dimethicone, cyclopentasiloxane, acrylates/dimethicone copolymer, phenoxyethanol, proprylene glycol, caprylyl glycol, sodium polyacrylate, silica, acrylates/C10-30 alkyl acrylate crosspolymer, disodium EDTA, tocopherol, menthyl lactate, diethylhexyl syringylidenemalonate, cassia alata leaf extract, maltodextrin<br /> If wearing with makeup, apply sunscreen first, followed by makeup. Product packaging may vary. Recommended by over 25,000 dermatologists worldwide as per La Roche-Posay Dermatologist Tracking Study, March 2015 <a class=""a-link-normal"" target=""_blank"" rel=""noopener"" href=""https://m.media-amazon.com/images/S/aplus-media/vc/3289dd7b-011f-4c26-8c17-ea536fbda1ee.jpg"">
            <img alt=""body lotion, fragrance, face lotion, antioxidants, sunscreen, sunscreen face, sunblock"" src=""https://m.media-amazon.com/images/S/aplus-media/vc/3289dd7b-011f-4c26-8c17-ea536fbda1ee._SL220__.jpg"">
        </a>
    
    


                                        








    
    
        
    





    
        <div class=""a-text-center"">
            <a class=""a-link-normal"" target=""_blank"" rel=""noopener"" href=""https://m.media-amazon.com/images/S/aplus-media/vc/3289dd7b-011f-4c26-8c17-ea536fbda1ee.jpg"">
                View larger
            </a>
        </div> <img alt=""face sunscreen, body sunscreen, lotion, body lotion, fragrance, face lotion, antioxidants"" src=""https://m.media-amazon.com/images/S/aplus-media/vc/743c1194-36c1-4691-af91-12022a8b2d91._SL220__.jpg""> <img alt=""sunscreen, sunscreen face, sunblock, face sunscreen, facial sunscreen, body sunscreen, lotion"" src=""https://m.media-amazon.com/images/S/aplus-media/vc/c09fc48c-a9c3-4f4f-9eac-6d5b5be83fbb._SL220__.jpg""> <a class=""a-link-normal"" target=""_blank"" rel=""noopener"" href=""https://m.media-amazon.com/images/S/aplus-media/vc/5fb51b32-b17b-49c6-973d-77dbbd420c25.jpg"">
            <img alt=""body lotion, fragrance, face lotion, antioxidants, sunscreen, sunscreen face, sunblock"" src=""https://m.media-amazon.com/images/S/aplus-media/vc/5fb51b32-b17b-49c6-973d-77dbbd420c25._SL220__.jpg"">
        </a>
    
    


                                        








    
    
        
    





    
        <div class=""a-text-center"">
            <a class=""a-link-normal"" target=""_blank"" rel=""noopener"" href=""https://m.media-amazon.com/images/S/aplus-media/vc/5fb51b32-b17b-49c6-973d-77dbbd420c25.jpg"">
                View larger
            </a>
        </div>",$35.99,images/item_000009.jpg
